product,moisture_low,moisture_high,extract_fine_dry_min,extract_fine_dry_max,extract_coarse_dry_min,extract_coarse_dry_max,sacharification_time_mins,odour,colour_ebc,total_nitrogen_kjeldahl,soluble_nitrogen_kjeldahl,kolbach_idx_min,kolbach_idx_max,ph_min,ph_max,diastaic_power,fan_min,fan_max,friability_min,friability_max,glassy_corns_min,glassy_corns_max,pug_min,pug_max,total_protein_drybasis,aal_congress_min,aal_congress_max,homogeneity,screenings_gt25,screenings_lt22,foriegn_seeds_weeds,viscosity_congress,wort_beta_glucan_congress,dms_precursor,notes
Voyager ORGANIC SCHOONER PALE,5,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,9,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic heritage schooner barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally."
Voyager ORGANIC VELORIA,4.4,5,80.4347826,80.4347826,80.4347826,80.4347826,10,,3.5532995,1.35,1.65,35,41,5.7,6,58,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic heritage schooner barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally. .Veloria has characteristics more aligned to older English varieties.
                Golden coloured, superb head retention and a clean yet rich toasted honey like sweetness assisted by the
                lower attenuation of the Schooner variety make this malt well suited to may craft beer styles."
Voyager ORGANIC VIENNA,4.4,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,6.0913706,1.35,1.65,35,41,5.7,6,39,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic New world barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally. High final cure temperatures during kilning provides a deeper malt
                aroma and flavour than our common base malts. A traditional ""high-kilned"" malt, our Vienna
                features a bright rich orange/ golden hue and subtle toast/biscuit characteristics making it an
                extremely versatile base malt."
Voyager PURPLE BARLEY MALT,5,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,2.5380711,1.35,1.65,35,41,5.7,6,54,120,175,85,97,0.1,2,0.33,5,11,78,84,95,98,0.1,1.5,1.7,200,5,"Originating from Tibet where this variety has been grown commercially here for the last 3000
                years. Interestingly enough, seed for this strain was obtained from Victoria-Australia in the early 1900""s
                and brought to the United States where it was tucked away in a seed vault. Luckily its reputation
                spurred a revival in interest for this heirloom grain, prized for its rich, distinctive flavours and
                unique nutritional benefits. We first secured a small amount of seed in 2015, planting it all to begin
                propagation. In late 2016 we were successful in securing a larger amount of seed direct from US based
                suppliers, allowing us to accelerate commercialisation of this rare variety. A distinctive almond like
                nut character with earthy and slight herbal notes that round out to a sweet bread like flavour similar
                to a lighter style wheat malt."
Voyager RED GUM SMOKE MALT,5,5,80.4347826,80.4347826,80.4347826,80.4347826,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"A heavy, meaty, campfire smoke profile."
Voyager REGEN PALE MALT,5,5,80.4347826,80.4347826,80.4347826,80.4347826,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"New world barley, regeneratively grown and certified sustainable."
Voyager ROAST BARLEY,3.5,5,72,72,72,72,10,,609.1370558,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"Made by intensely roasting raw unmalted schooner barley, our roast barley malt adds the classic
                dry, bitter and strong coffee characteristics to traditional stouts and porters."
Voyager ROASTED TIBETAN PURPLE MALT,4,5,71.7391304,71.7391304,71.7391304,71.7391304,10,,558.3756345,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"A hulless variety of barley, It delivers a subtle, smooth no bitter taste, with hints of
                aniseed."
Voyager SCHOONER PALE,4.4,5,82.6086957,82.6086957,82.6086957,82.6086957,10,,2.5380711,1.35,1.65,35,41,5.7,6,61,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"A true craft beer pale malt. A unique aroma and flavour profile that has been best described
                as ""freshly cut hay, honey, and biscuits."" This malt has enough character to stand up by
                itself in any style pale ale, even IPA""s."
Voyager SM40,4.4,5,79.3478261,79.3478261,79.3478261,79.3478261,10,,20.3045685,1.35,1.65,35,41,5.7,6,26,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"A dark munich style malt designed as a single malt for dark amber beers, or lighter session style
                red ales.
                VISUAL: Bright brown color with no particulates.
                AROMA: Toast, bread crust, and then some pretzel and brown sugar.
                TASTE: No bitterness, gently sweet, and no sourness."
Voyager TRITICALE,4.4,5,83.78,83.78,83.78,83.78,10,,3.0456853,1.35,1.65,35,41,5.7,6,45,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"A hybrid of wheat (Triticum) and Rye (Secale), Triticale was first developed by
                Plant Breeders in Europe in the 1800's.
                Triticale combines the yield potential and grain quality of wheat with the disease and environmental
                tolerance (including soil conditions) of rye.
                Triticale is best described as 'wheat with character', bringing the qualities of malted rye
                without the spicyness or viscosity.
                VISUAL: Dark yellow color with a light haze and tiny particulates.
                AROMA: Grainy aromas,slight honey, and breakfast cereal.
                TASTE: Slightly sour/tart, moderately sweet, with no bitterness.
                MOUTHFEEL: Medium body, a little cloying, and leaving a light coating."
Voyager UNDERMODIFED PILS,5,5,80.12,80.12,80.12,80.12,10,,1.2690355,1.35,1.65,35,41,5.7,6,79,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Delight in the rich history of brewing with our Traditional Under-Modified Pilsner Malt, a
                product that harks back to the golden era of brewing excellence, proudly holding the legacy of
                generations of maltsters who mastered the art of producing exceptional malt for the perfect Pilsner.
                Crafted with precision and care, this malt exemplifies the cherished traditions of generations past,
                ensuring your brews are infused with a touch of nostalgia and an authentic taste that aficionados have
                cherished for centuries.
                This malt is meticulously produced using carefully selected, premium-quality new world Riverina grown
                barley, ensuring a consistent and reliable brewing process. Its under-modification retains a greater
                portion of the grain's original enzymes, and protein assisting enhanced mouthfeel, body and
                assisting with head retention and haze stability.
                Complex yet delicate flavor profile. This malt delivers a light, honey-like sweetness that blends
                seamlessly with subtle biscuity undertones, culminating in a crisp and clean finish that is the hallmark
                of a true Pilsner."
Voyager VAMPIRE RYE,4.4,5,83.78,83.78,83.78,83.78,10,,3.5532995,1.35,1.65,35,41,5.7,6,44,120,175,85,97,0.1,2,0.33,5,9.7,78,84,95,98,0.1,1.5,1.7,200,5,"Made exclusively from forage variety 'Vampire' rye this malted rye has a softer, more
                rounded rye spice character than the more commonly grown Australian rye varieites. This is partly due to
                larger size grain, which is more common to european rye. Expect a harmonious symphony of flavors, where
                the typical denser rye bread character helps to showcase the notes of cloves, pepper, and a hint of
                nuttiness."
Voyager VELORIA,4.4,5,80.4347826,80.4347826,80.4347826,80.4347826,10,,4.0609137,1.35,1.65,35,41,5.7,6,58,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"This was the malt that started it all. Our Veloria malt was designed to be the ultimate single
                malt for summer pale ales and immediately gained recognition in the craft brewing community for its
                unique characteristics. Using the now very rare Schooner variety grown right here on our farm, Veloria
                has characteristics more aligned to older English varieties. Golden coloured, superb head retention and
                a clean yet rich toasted honey like sweetness assisted by the lower attenuation of the Schooner variety
                make this malt well suited to may craft beer styles."
Voyager VIENNA,4.4,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,6.0913706,1.35,1.65,35,41,5.7,6,39,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"High final cure temperatures during kilning provides a deeper malt aroma and flavour than our
                common base malts. A traditional ""high-kilned"" malt, our Vienna features a bright rich
                orange/ golden hue and subtle toast/biscuit characteristics making it an extremely versatile base malt."
Voyager VOODOO,4.4,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,35.5329949,1.35,1.65,35,41,5.7,6,26,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Voodoo is a rich intense malt, created by increased temperature and moisture recirculation in the
                early stages of kilning to promote melanoidin precursor formation. An extended curing process in the
                kiln helps to intensify this dark, sweet, aromatic malt. An extremely versatile malt Voodoo is best
                described as a perfect blend of Amber, Munich and Med Crystal, and can be used to add body, colour,
                aroma and flavour to all beer styles."
Voyager WINTER WHEAT,5,5,84.29,84.29,84.29,84.29,10,,2.5380711,1.35,1.65,35,41,5.7,6,64,120,175,85,97,0.1,2,0.33,5,11,78,84,95,98,0.1,1.5,1.7,200,5,"Made exclusively from the traditionally smaller kernal ""Janz"" hard red winter wheat
                sourced from 4th generation cereal grain grower Ken Whytcross on his property ""Wongabeena"".
                Higher protein levels in this wheat ensure great head and foam retention. Our wheat malt features a
                typical sweet, bready, nutty and slight biscuit flavor profile that will add depth, body and complexity
                to the full range of traditional wheat beers."
